Years,Ntraj_20W
1960,1866
1961,2022
1962,2282
1963,1847
1964,1799
1965,1276
1966,1067
1967,1471
1968,1953
1969,1543
1970,1481
1971,1643
1972,1817
1973,2321
1974,1697
1975,2473
1976,2627
1977,1710
1978,1787
1979,1873
1980,1494
1981,1781
1982,1901
1983,1956
1984,2379
1985,2049
1986,1776
1987,1999
1988,1971
1989,2674
1990,2802
1991,2643
1992,2473
1993,2242
1994,2326
1995,2015
1996,1620
1997,1899
1998,1297
1999,1417
2000,2037
2001,1831
2002,1637
2003,1467
2004,1933
2005,2539
2006,1843
2007,2143
2008,2036
2009,1537
