,Date,UK_mean
187,1885-07-16,14.10634674
188,1885-08-16,15.16467074
189,1885-09-16,14.11508131
190,1885-10-16,12.38472557
191,1885-11-16,10.30079147
192,1885-12-16,9.316814491
193,1886-01-16,8.057713509
194,1886-02-15,6.809603248
195,1886-03-16,6.785078185
196,1886-04-16,7.752868005
197,1886-05-16,9.417584385
198,1886-06-16,11.94312028
199,1886-07-16,14.60612461
200,1886-08-16,15.0019799
201,1886-09-16,14.71446078
202,1886-10-16,13.09265266
203,1886-11-16,10.92564195
204,1886-12-16,9.016905819
205,1887-01-16,7.974323613
206,1887-02-15,7.280525684
207,1887-03-16,6.912536349
208,1887-04-16,7.569359711
209,1887-05-16,9.331816741
210,1887-06-16,12.50766366
211,1887-07-16,14.96120214
212,1887-08-16,15.97298213
213,1887-09-16,14.3501217
214,1887-10-16,12.39700862
215,1887-11-16,10.1237983
216,1887-12-16,8.929224661
217,1888-01-16,7.193769796
218,1888-02-15,6.138413889
219,1888-03-16,5.987025244
220,1888-04-16,6.818721737
221,1888-05-16,8.882620573
222,1888-06-16,11.90207992
223,1888-07-16,13.70789194
224,1888-08-16,14.72306435
225,1888-09-16,14.32518727
226,1888-10-16,12.88570438
227,1888-11-16,11.56544563
228,1888-12-16,10.33410011
229,1889-01-16,8.856208938
230,1889-02-15,7.836311783
231,1889-03-16,6.863462891
232,1889-04-16,7.627492734
233,1889-05-16,10.10581337
234,1889-06-16,13.05925689
235,1889-07-16,14.79402508
236,1889-08-16,14.97478001
237,1889-09-16,14.28179148
238,1889-10-16,12.79070248
239,1889-11-16,10.90809672
240,1889-12-16,9.556943825
241,1890-01-16,8.708903721
242,1890-02-15,7.558979648
243,1890-03-16,7.211547204
244,1890-04-16,7.863520929
245,1890-05-16,9.832327093
246,1890-06-16,12.46137674
247,1890-07-16,13.83688055
248,1890-08-16,15.03866455
249,1890-09-16,14.49011959
250,1890-10-16,13.12959276
251,1890-11-16,10.60856315
252,1890-12-16,8.516974551
253,1891-01-16,7.134079082
254,1891-02-15,6.636851226
255,1891-03-16,6.438115461
256,1891-04-16,7.456263747
257,1891-05-16,9.37132505
258,1891-06-16,12.44366952
259,1891-07-16,14.45729215
260,1891-08-16,15.27725417
261,1891-09-16,14.13318566
262,1891-10-16,12.86338043
263,1891-11-16,10.9781253
264,1891-12-16,9.335894108
265,1892-01-16,8.003772395
266,1892-02-15,6.958129644
267,1892-03-16,6.456593854
268,1892-04-16,7.545520203
269,1892-05-16,9.572148732
270,1892-06-16,12.39233024
271,1892-07-16,14.15689353
272,1892-08-16,15.1172174
273,1892-09-16,14.03769275
274,1892-10-16,12.46054179
275,1892-11-16,10.50523308
276,1892-12-16,9.021321058
277,1893-01-16,7.739699772
