YEAR,Count
1960,3
1961,2
1962,1
1963,0
1964,1
1965,0
1966,0
1967,1
1968,1
1969,1
1970,1
1971,0
1972,0
1973,1
1974,1
1975,1
1976,3
1977,2
1978,0
1979,1
1980,1
1981,0
1982,7
1983,3
1984,3
1985,0
1986,2
1987,0
1988,2
1989,5
1990,22
1991,5
1992,10
1993,2
1994,2
1995,3
1996,3
1997,1
1998,4
1999,7
2000,6
2001,20
2002,21
2003,10
2004,13
2005,14
2006,11
2007,10
2008,36
2009,15
2010,0
2011,8
2012,7
2013,4
2014,11
